INPUT,TARGET
"Nommez-le Fourbe, Infâme, et Scélérat maudit,","Tout le monde en convient, et nul n’y contredit."
"Tout le monde en convient, et nul n’y contredit.","Cependant, sa grimace est, par tout, bienvenue,"
"Cependant, sa grimace est, par tout, bienvenue,","On l’accueille, on lui rit ; partout, il s’insinue ;"
"On l’accueille, on lui rit ; partout, il s’insinue ;","Et s’il est, par la Brigue, un Rang à disputer,"
"Et s’il est, par la Brigue, un Rang à disputer,","Sur le plus honnête Homme, on le voit l’emporter."
"Sur le plus honnête Homme, on le voit l’emporter.","Têtebleu, ce me sont de mortelles blessures,"
"Têtebleu, ce me sont de mortelles blessures,",De voir qu’avec le Vice on garde des mesures ;
De voir qu’avec le Vice on garde des mesures ;,"Et, parfois, il me prend des mouvements soudains,"
"Et, parfois, il me prend des mouvements soudains,","De fuir, dans un Désert, l’approche des Humains."
"De fuir, dans un Désert, l’approche des Humains.","Mon Dieu, des Mœurs du Temps, mettons-nous moins en peine,"
"Mon Dieu, des Mœurs du Temps, mettons-nous moins en peine,",Et faisons un peu grâce à la Nature Humaine ;
Et faisons un peu grâce à la Nature Humaine ;,"Ne l’examinons point dans la grande rigueur,"
"Ne l’examinons point dans la grande rigueur,","Et voyons ses défauts, avec quelque douceur."
"Et voyons ses défauts, avec quelque douceur.","Il faut, parmi le Monde, une Vertu traitable,"
"Il faut, parmi le Monde, une Vertu traitable,","À force de Sagesse on peut être blâmable,"
"À force de Sagesse on peut être blâmable,","La parfaite Raison fuit toute extrémité,"
"La parfaite Raison fuit toute extrémité,",Et veut que l’on soit sage avec sobriété.
Et veut que l’on soit sage avec sobriété.,"Cette grande raideur des Vertus des vieux Âges,"
"Cette grande raideur des Vertus des vieux Âges,","Heurte trop notre Siècle, et les communs Usages,"
"Heurte trop notre Siècle, et les communs Usages,","Elle veut aux Mortels trop de perfection,"
"Elle veut aux Mortels trop de perfection,","Il faut fléchir au Temps, sans obstination ;"
"Il faut fléchir au Temps, sans obstination ;","Et c’est une folie, à nulle autre seconde,"
"Et c’est une folie, à nulle autre seconde,",De vouloir se mêler de corriger le Monde.
De vouloir se mêler de corriger le Monde.,"J’observe, comme vous, cent choses, tous les jours,"
"J’observe, comme vous, cent choses, tous les jours,","Qui pourraient mieux aller, prenant un autre cours :"
"Qui pourraient mieux aller, prenant un autre cours :","Mais quoique à chaque pas, je puisse voir paraître,"
"Mais quoique à chaque pas, je puisse voir paraître,","En courroux, comme vous, on ne me voit point être ;"
"En courroux, comme vous, on ne me voit point être ;","Je prends, tout doucement, les Hommes comme ils sont ;"
"Je prends, tout doucement, les Hommes comme ils sont ;",J’accoutume mon Âme à souffrir ce qu’ils font ;
J’accoutume mon Âme à souffrir ce qu’ils font ;,"Et je crois qu’à la Cour, de même qu’à la Ville,"
"Et je crois qu’à la Cour, de même qu’à la Ville,","Mon Flegme est Philosophe, autant que votre Bile."
"Mon Flegme est Philosophe, autant que votre Bile.","Mais ce Flegme, Monsieur, qui raisonne si bien,"
"Mais ce Flegme, Monsieur, qui raisonne si bien,","Ce flegme, pourra-t-il ne s’échauffer de rien ?"
"Ce flegme, pourra-t-il ne s’échauffer de rien ?","Et s’il faut, par hasard, qu’un Ami vous trahisse,"
"Et s’il faut, par hasard, qu’un Ami vous trahisse,","Que pour avoir vos Biens, on dresse un artifice,"
"Que pour avoir vos Biens, on dresse un artifice,","Ou qu’on tâche à semer de méchants bruits de vous,"
"Ou qu’on tâche à semer de méchants bruits de vous,","Verrez-vous tout cela, sans vous mettre en courroux ?"
"Verrez-vous tout cela, sans vous mettre en courroux ?","Oui, je vois ces Défauts dont votre âme murmure,"
"Oui, je vois ces Défauts dont votre âme murmure,",Comme Vices unis à l’Humaine Nature ;
Comme Vices unis à l’Humaine Nature ;,"Et mon esprit, enfin, n’est pas plus offensé,"
"Et mon esprit, enfin, n’est pas plus offensé,","De voir un Homme fourbe, injuste, intéressé,"
"De voir un Homme fourbe, injuste, intéressé,","Que de voir des Vautours affamés de carnage,"
"Que de voir des Vautours affamés de carnage,","Des Singes malfaisants, et des Loups pleins de rage."
"Des Singes malfaisants, et des Loups pleins de rage.","Je me verrai trahir, mettre en pièces, voler,"
"Je me verrai trahir, mettre en pièces, voler,","Sans que je sois… Morbleu, je ne veux point parler,"
"Sans que je sois… Morbleu, je ne veux point parler,",Tant ce raisonnement est plein d’impertinence.
Tant ce raisonnement est plein d’impertinence.,"Ma foi, vous ferez bien de garder le silence ;"
"Ma foi, vous ferez bien de garder le silence ;","Contre votre Partie, éclatez un peu moins,"
"Contre votre Partie, éclatez un peu moins,","Et donnez au Procès, une part de vos soins."
"Et donnez au Procès, une part de vos soins.","Je n’en donnerai point, c’est une chose dite."
"Je n’en donnerai point, c’est une chose dite.","Mais qui voulez-vous donc, qui, pour vous, sollicite ?"
"Mais qui voulez-vous donc, qui, pour vous, sollicite ?","Qui je veux ? la Raison, mon bon Droit, l’Équité."
"Qui je veux ? la Raison, mon bon Droit, l’Équité.","Aucun Juge, par vous, ne sera visité ?"
"Aucun Juge, par vous, ne sera visité ?","Non, est-ce que ma Cause est injuste, ou douteuse ?"
"Non, est-ce que ma Cause est injuste, ou douteuse ?","J’en demeure d’accord ; mais la Brigue est fâcheuse,"
"J’en demeure d’accord ; mais la Brigue est fâcheuse,",Et…
Et…,"Non, j’ai résolu de n’en pas faire un pas ;"
"Non, j’ai résolu de n’en pas faire un pas ;","J’ai tort, ou j’ai raison."
"J’ai tort, ou j’ai raison.",Ne vous y fiez pas.
Ne vous y fiez pas.,Je ne remuerai point.
Je ne remuerai point.,"Votre Partie est forte,"
"Votre Partie est forte,","Et peut, par sa Cabale, entraîner…"
"Et peut, par sa Cabale, entraîner…",Il n’importe.
Il n’importe.,Vous vous tromperez.
Vous vous tromperez.,"Soit, j’en veux voir le succès."
"Soit, j’en veux voir le succès.",Mais…
Mais…,J’aurai le plaisir de perdre mon Procès.
J’aurai le plaisir de perdre mon Procès.,"Mais, enfin…"
"Mais, enfin…","Je verrai, dans cette Plaiderie,"
"Je verrai, dans cette Plaiderie,","Si les Hommes auront assez d’effronterie,"
"Si les Hommes auront assez d’effronterie,","Seront assez méchants, scélérats et pervers,"
"Seront assez méchants, scélérats et pervers,",Pour me faire injustice aux yeux de l’Univers.
Pour me faire injustice aux yeux de l’Univers.,Quel Homme !
Quel Homme !,"Je voudrais, m’en coûtât-il grand-chose,"
"Je voudrais, m’en coûtât-il grand-chose,","Pour la beauté du Fait, avoir perdu ma Cause."
"Pour la beauté du Fait, avoir perdu ma Cause.","On se rirait de vous, Alceste, tout de bon,"
"On se rirait de vous, Alceste, tout de bon,",Si l’on vous entendait parler de la façon.
Si l’on vous entendait parler de la façon.,Tant pis pour qui rirait.
Tant pis pour qui rirait.,"Mais cette Rectitude,"
"Mais cette Rectitude,","Que vous voulez, en tout, avec exactitude,"
"Que vous voulez, en tout, avec exactitude,","Cette pleine Droiture où vous vous renfermez,"
"Cette pleine Droiture où vous vous renfermez,","La trouvez-vous ici, dans ce que vous aimez ?"
"La trouvez-vous ici, dans ce que vous aimez ?","Je m’étonne, pour moi, qu’étant, comme il le semble,"
"Je m’étonne, pour moi, qu’étant, comme il le semble,","Vous et le Genre Humain, si fort brouillés ensemble,"
"Vous et le Genre Humain, si fort brouillés ensemble,","Malgré tout ce qui peut vous le rendre odieux,"
"Malgré tout ce qui peut vous le rendre odieux,","Vous ayez pris, chez lui, ce qui charme vos yeux ;"
"Vous ayez pris, chez lui, ce qui charme vos yeux ;","Et ce qui me surprend, encore, davantage,"
"Et ce qui me surprend, encore, davantage,",C’est cet étrange Choix où votre Coeur s’engage.
C’est cet étrange Choix où votre Coeur s’engage.,"La sincère Éliante a du penchant pour vous,"
"La sincère Éliante a du penchant pour vous,",La prude Arsinoé vous voit d’un oeil fort doux :
La prude Arsinoé vous voit d’un oeil fort doux :,"Cependant, à leurs voeux, votre âme se refuse,"
"Cependant, à leurs voeux, votre âme se refuse,","Tandis qu’en ses liens Célimène l’amuse,"
"Tandis qu’en ses liens Célimène l’amuse,","De qui l’humeur coquette, et l’esprit médisant,"
"De qui l’humeur coquette, et l’esprit médisant,",Semble si fort donner dans les Moeurs d’à présent.
Semble si fort donner dans les Moeurs d’à présent.,"D’où vient que leur portant une haine mortelle,"
"D’où vient que leur portant une haine mortelle,",Vous pouvez bien souffrir ce qu’en tient cette Belle ?
Vous pouvez bien souffrir ce qu’en tient cette Belle ?,Ne sont-ce plus Défauts dans un Objet si doux ?
Ne sont-ce plus Défauts dans un Objet si doux ?,Ne les voyez-vous pas ? ou les excusez-vous ?
Ne les voyez-vous pas ? ou les excusez-vous ?,"Non, l’amour que je sens pour cette jeune Veuve"
"Non, l’amour que je sens pour cette jeune Veuve",Ne ferme point mes yeux aux défauts qu’on lui treuve ;
Ne ferme point mes yeux aux défauts qu’on lui treuve ;,"Et je suis, quelque ardeur qu’elle m’ait pu donner,"
"Et je suis, quelque ardeur qu’elle m’ait pu donner,","Le premier à les voir, comme à les condamner."
"Le premier à les voir, comme à les condamner.","Mais, avec tout cela, quoi que je puisse faire,"
"Mais, avec tout cela, quoi que je puisse faire,","Je confesse mon faible, elle a l’art de me plaire ;"
"Je confesse mon faible, elle a l’art de me plaire ;","J’ai beau voir ses défauts et j’ai beau l’en blâmer,"
"J’ai beau voir ses défauts et j’ai beau l’en blâmer,","En dépit qu’on en ait, elle se fait aimer ;"
"En dépit qu’on en ait, elle se fait aimer ;","Sa grâce est la plus forte, et, sans doute, ma flamme"
"Sa grâce est la plus forte, et, sans doute, ma flamme",De ces Vices du Temps pourra purger son âme.
De ces Vices du Temps pourra purger son âme.,"Si vous faites cela, vous ne ferez pas peu."
"Si vous faites cela, vous ne ferez pas peu.","Vous croyez être, donc, aimé d’elle ?"
"Vous croyez être, donc, aimé d’elle ?","Oui, parbleu ;"
"Oui, parbleu ;","Je ne l’aimerais pas, si je ne croyais l’être."
"Je ne l’aimerais pas, si je ne croyais l’être.","Mais si son amitié, pour vous, se fait paraître,"
"Mais si son amitié, pour vous, se fait paraître,",D’où vient que vos Rivaux vous causent de l’ennui ?
D’où vient que vos Rivaux vous causent de l’ennui ?,C’est qu’un coeur bien atteint veut qu’on soit tout à lui ;
C’est qu’un coeur bien atteint veut qu’on soit tout à lui ;,"Et je ne viens ici, qu’à dessein de lui dire"
"Et je ne viens ici, qu’à dessein de lui dire","Tout ce que là-dessus, ma passion m’inspire."
"Tout ce que là-dessus, ma passion m’inspire.","Pour moi, si je n’avais qu’à former des désirs,"
"Pour moi, si je n’avais qu’à former des désirs,","Sa Cousine Eliante aurait tous mes soupirs,"
"Sa Cousine Eliante aurait tous mes soupirs,","Son Cœur, qui vous estime, est solide, et sincère ;"
"Son Cœur, qui vous estime, est solide, et sincère ;","Et ce Choix plus conforme, était mieux votre affaire."
"Et ce Choix plus conforme, était mieux votre affaire.","Il est vrai, ma Raison me le dit chaque jour ;"
"Il est vrai, ma Raison me le dit chaque jour ;",Mais la Raison n’est pas ce qui règle l’Amour.
Mais la Raison n’est pas ce qui règle l’Amour.,"Je crains fort pour vos Feux ; et l’espoir où vous êtes,"
"Je crains fort pour vos Feux ; et l’espoir où vous êtes,",Pourrait…
Pourrait…,"J’ai su là-bas que, pour quelques Emplettes"
"J’ai su là-bas que, pour quelques Emplettes","Éliante est sortie, et Célimène aussi :"
"Éliante est sortie, et Célimène aussi :","Mais, comme l’on m'a dit que vous étiez ici,"
"Mais, comme l’on m'a dit que vous étiez ici,","J’ai monté, pour vous dire, et d’un coeur véritable,"
"J’ai monté, pour vous dire, et d’un coeur véritable,","Que j’ai conçu pour vous, une estime incroyable ;"
"Que j’ai conçu pour vous, une estime incroyable ;","Et que, depuis longtemps, cette estime m’a mis"
"Et que, depuis longtemps, cette estime m’a mis",Dans un ardent désir d’être de vos Amis.
Dans un ardent désir d’être de vos Amis.,"Oui, mon Coeur, au Mérite aime à rendre justice,"
"Oui, mon Coeur, au Mérite aime à rendre justice,",Et je brûle qu’un noeud d’Amitié nous unisse :
Et je brûle qu’un noeud d’Amitié nous unisse :,"Je crois qu’un Ami chaud, et de ma Qualité,"
"Je crois qu’un Ami chaud, et de ma Qualité,","N’est pas, assurément, pour être rejeté."
"N’est pas, assurément, pour être rejeté.","C’est à vous, s’il vous plaît, que ce discours s’adresse."
"C’est à vous, s’il vous plaît, que ce discours s’adresse.","À moi, Monsieur ?"
"À moi, Monsieur ?",À vous. Trouvez-vous qu’il vous blesse ?
À vous. Trouvez-vous qu’il vous blesse ?,"Non pas, mais la surprise est fort grande pour moi."
"Non pas, mais la surprise est fort grande pour moi.",Et je n’attendais pas l’honneur que je reçois.
Et je n’attendais pas l’honneur que je reçois.,"L’estime où je vous tiens ne doit point vous surprendre,"
"L’estime où je vous tiens ne doit point vous surprendre,","Et de tout l’Univers, vous la pouvez prétendre."
"Et de tout l’Univers, vous la pouvez prétendre.",Monsieur...
Monsieur...,L’État n’a rien qui ne soit au-dessous
L’État n’a rien qui ne soit au-dessous,Du Mérite éclatant que l’on découvre en vous.
Du Mérite éclatant que l’on découvre en vous.,Monsieur…
Monsieur…,"Oui, de ma part, je vous tiens préférable"
"Oui, de ma part, je vous tiens préférable",A tout ce que j’y vois de plus considérable.
A tout ce que j’y vois de plus considérable.,Monsieur…
Monsieur…,"Sois-je du Ciel écrasé, si je mens ;"
"Sois-je du Ciel écrasé, si je mens ;","Et pour vous confirmer ici, mes Sentiments,"
"Et pour vous confirmer ici, mes Sentiments,","Souffrez qu’à coeur ouvert, Monsieur, je vous embrasse,"
"Souffrez qu’à coeur ouvert, Monsieur, je vous embrasse,","Et qu’en votre Amitié, je vous demande place."
"Et qu’en votre Amitié, je vous demande place.","Touchez-là, s’il vous plaît, Vous me la promettez"
"Touchez-là, s’il vous plaît, Vous me la promettez",Votre Amitié ?
Votre Amitié ?,Monsieur…
Monsieur…,Quoi ? vous y résistez ?
Quoi ? vous y résistez ?,"Monsieur, c’est trop d’honneur que vous me voulez faire ;"
"Monsieur, c’est trop d’honneur que vous me voulez faire ;","Mais l’Amitié demande un peu plus de mystère,"
"Mais l’Amitié demande un peu plus de mystère,","Et c’est, assurément, en profaner le nom,"
"Et c’est, assurément, en profaner le nom,",Que de vouloir le mettre à toute occasion.
Que de vouloir le mettre à toute occasion.,"Avec lumière et choix cette union veut naître,"
"Avec lumière et choix cette union veut naître,","Avant que nous lier, il faut nous mieux connaître ;"
"Avant que nous lier, il faut nous mieux connaître ;","Et nous pourrions avoir telles complexions,"
"Et nous pourrions avoir telles complexions,","Que tous deux, du Marché, nous nous repentirions."
"Que tous deux, du Marché, nous nous repentirions.","Parbleu, c’est là-dessus, parler en Homme sage,"
"Parbleu, c’est là-dessus, parler en Homme sage,","Et je vous en estime, encore, davantage :"
"Et je vous en estime, encore, davantage :","Souffrons, donc, que le Temps forme des noeuds si doux."
"Souffrons, donc, que le Temps forme des noeuds si doux.","Mais, cependant, je m’offre entièrement à vous ;"
"Mais, cependant, je m’offre entièrement à vous ;","S’il faut faire à la Cour, pour vous, quelque ouverture,"
"S’il faut faire à la Cour, pour vous, quelque ouverture,","On sait, qu’auprès du Roi, je fais quelque Figure,"
"On sait, qu’auprès du Roi, je fais quelque Figure,","Il m’écoute, et dans tout, il en use, ma foi,"
"Il m’écoute, et dans tout, il en use, ma foi,","Le plus honnêtement du Monde, avecque moi."
"Le plus honnêtement du Monde, avecque moi.","Enfin, je suis à vous, de toutes les manières ;"
"Enfin, je suis à vous, de toutes les manières ;","Et, comme votre Esprit a de grandes lumières,"
"Et, comme votre Esprit a de grandes lumières,","Je viens, pour commencer, entre nous, ce beau noeud,"
"Je viens, pour commencer, entre nous, ce beau noeud,","Vous montrer un Sonnet, que j’ai fait depuis peu,"
"Vous montrer un Sonnet, que j’ai fait depuis peu,",Et savoir s’il est bon qu’au Public je l’expose.
Et savoir s’il est bon qu’au Public je l’expose.,"Monsieur, je suis mal propre à décider la chose,"
"Monsieur, je suis mal propre à décider la chose,",Veuillez m’en dispenser.
Veuillez m’en dispenser.,Pourquoi ?
Pourquoi ?,J’ai le défaut
J’ai le défaut,"D’être un peu plus sincère, en cela, qu’il ne faut."
"D’être un peu plus sincère, en cela, qu’il ne faut.","C’est ce que je demande, et j’aurais lieu de plainte,"
"C’est ce que je demande, et j’aurais lieu de plainte,","Si m’exposant à vous, pour me parler sans feinte,"
"Si m’exposant à vous, pour me parler sans feinte,","Vous alliez me trahir, et me déguiser rien."
"Vous alliez me trahir, et me déguiser rien.","Puisqu’il vous plaît ainsi, Monsieur, je le veux bien."
"Puisqu’il vous plaît ainsi, Monsieur, je le veux bien.","Sonnet... C’est un Sonnet. L’Espoir… C’est une Dame,"
"Sonnet... C’est un Sonnet. L’Espoir… C’est une Dame,","Qui, de quelque espérance, avait flatté ma flamme."
"Qui, de quelque espérance, avait flatté ma flamme.","L’Espoir… Ce ne sont point de ces grands Vers pompeux,"
"L’Espoir… Ce ne sont point de ces grands Vers pompeux,","Mais de petits Vers doux, tendres, et langoureux."
"Mais de petits Vers doux, tendres, et langoureux.",Nous verrons bien.
Nous verrons bien.,L’Espoir… Je ne sais si le style
L’Espoir… Je ne sais si le style,"Pourra vous en paraître assez net, et facile ;"
"Pourra vous en paraître assez net, et facile ;","Et si, du choix des Mots, vous vous contenterez."
"Et si, du choix des Mots, vous vous contenterez.","Nous allons voir, Monsieur."
"Nous allons voir, Monsieur.","Au reste, vous saurez,"
"Au reste, vous saurez,",Que je n’ai demeuré qu’un quart d’heure à le faire.
Que je n’ai demeuré qu’un quart d’heure à le faire.,"Voyons, Monsieur, le Temps ne fait rien à l’affaire."
"Voyons, Monsieur, le Temps ne fait rien à l’affaire.","L’Espoir, il est vrai, nous soulage,"
"L’Espoir, il est vrai, nous soulage,","Et nous berce un temps, notre ennui ;"
"Et nous berce un temps, notre ennui ;","Mais, Philis, le triste avantage,"
"Mais, Philis, le triste avantage,",Lorsque rien ne marche après lui !
Lorsque rien ne marche après lui !,Je suis déjà charmé de ce petit morceau.
Je suis déjà charmé de ce petit morceau.,Quoi ! vous avez le front de trouver cela beau ?
Quoi ! vous avez le front de trouver cela beau ?,"Vous eûtes de la Complaisance,"
"Vous eûtes de la Complaisance,",Mais vous en deviez moins avoir ;
Mais vous en deviez moins avoir ;,"Et ne vous pas mettre en dépense,"
"Et ne vous pas mettre en dépense,",Pour ne me donner que l’Espoir.
Pour ne me donner que l’Espoir.,"Ah ! qu’en termes galants, ces choses-là sont mises !"
"Ah ! qu’en termes galants, ces choses-là sont mises !","Morbleu, vil Complaisant, vous louez des Sottises ?"
"Morbleu, vil Complaisant, vous louez des Sottises ?",S’il faut qu’une attente éternelle
S’il faut qu’une attente éternelle,"Pousse à bout, l’ardeur de mon zèle,"
"Pousse à bout, l’ardeur de mon zèle,",Le Trépas sera mon recours.
Le Trépas sera mon recours.,Vos soins ne m’en peuvent distraire ;
Vos soins ne m’en peuvent distraire ;,"Belle Philis, on désespère,"
"Belle Philis, on désespère,",Alors qu’on espère toujours.
Alors qu’on espère toujours.,"La chute en est jolie, amoureuse, admirable."
"La chute en est jolie, amoureuse, admirable.","La peste de ta chute ! Empoisonneur au Diable,"
"La peste de ta chute ! Empoisonneur au Diable,",En eusses-tu fait une à te casser le nez.
En eusses-tu fait une à te casser le nez.,Je n’ai jamais ouï de Vers si bien tournés.
Je n’ai jamais ouï de Vers si bien tournés.,Morbleu…
Morbleu…,"Vous me flattez, et vous croyez,  peut-être…"
"Vous me flattez, et vous croyez,  peut-être…","Non, je ne flatte point."
"Non, je ne flatte point.","Et que fais-tu, donc, Traître ?"
"Et que fais-tu, donc, Traître ?","Mais, pour vous, vous savez quel est notre Traité ;"
"Mais, pour vous, vous savez quel est notre Traité ;","Parlez-moi, je vous prie, avec sincérité."
"Parlez-moi, je vous prie, avec sincérité.","Monsieur, cette matière est toujours délicate,"
"Monsieur, cette matière est toujours délicate,","Et, sur le bel Esprit, nous aimons qu’on nous flatte :"
"Et, sur le bel Esprit, nous aimons qu’on nous flatte :","Mais un jour, à quelqu’un, dont je tairai le nom,"
"Mais un jour, à quelqu’un, dont je tairai le nom,","Je disais, en voyant des Vers de sa façon,"
"Je disais, en voyant des Vers de sa façon,",Qu’il faut qu’un galant Homme ait toujours grand empire
Qu’il faut qu’un galant Homme ait toujours grand empire,Sur les démangeaisons qui nous prennent d’écrire ;
Sur les démangeaisons qui nous prennent d’écrire ;,Qu’il doit tenir la bride aux grands empressements
Qu’il doit tenir la bride aux grands empressements,Qu’on a de faire éclat de tels amusements ;
Qu’on a de faire éclat de tels amusements ;,"Et que, par la chaleur de montrer ses Ouvrages,"
"Et que, par la chaleur de montrer ses Ouvrages,",On s’expose à jouer de mauvais Personnages.
On s’expose à jouer de mauvais Personnages.,"Est-ce que vous voulez me déclarer, par là,"
"Est-ce que vous voulez me déclarer, par là,",Que j’ai tort de vouloir…
Que j’ai tort de vouloir…,Je ne dis pas cela :
Je ne dis pas cela :,"Mais je lui disais, moi, qu’un froid Écrit assomme,"
"Mais je lui disais, moi, qu’un froid Écrit assomme,","Qu’il ne faut que ce Faible, à décrier un Homme ;"
"Qu’il ne faut que ce Faible, à décrier un Homme ;","Et qu’eût-on, d’autre part, cent belles Qualités,"
"Et qu’eût-on, d’autre part, cent belles Qualités,","On regarde les Gens, par leurs méchants côtés."
"On regarde les Gens, par leurs méchants côtés.","Est-ce qu’à mon Sonnet, vous trouvez à redire ?"
"Est-ce qu’à mon Sonnet, vous trouvez à redire ?","Je ne dis pas cela ; mais, pour ne point écrire,"
"Je ne dis pas cela ; mais, pour ne point écrire,","Je lui mettais aux yeux, comme dans notre Temps,"
"Je lui mettais aux yeux, comme dans notre Temps,",Cette Soif a gâté de fort Honnêtes Gens.
Cette Soif a gâté de fort Honnêtes Gens.,Est-ce que j’écris mal ? et leur ressemblerais-je ?
Est-ce que j’écris mal ? et leur ressemblerais-je ?,"Je ne dis pas cela ; mais enfin, lui disais-je,"
"Je ne dis pas cela ; mais enfin, lui disais-je,","Quel besoin, si pressant, avez-vous de Rimer ?"
"Quel besoin, si pressant, avez-vous de Rimer ?","Et qui, diantre, vous pousse à vous faire Imprimer ?"
"Et qui, diantre, vous pousse à vous faire Imprimer ?","Si l’on peut pardonner l’essor d’un mauvais Livre,"
"Si l’on peut pardonner l’essor d’un mauvais Livre,","Ce n’est qu’aux Malheureux, qui composent pour vivre."
"Ce n’est qu’aux Malheureux, qui composent pour vivre.","Croyez-moi, résistez à vos tentations,"
"Croyez-moi, résistez à vos tentations,","Dérobez au Public, ces Occupations ;"
"Dérobez au Public, ces Occupations ;","Et n’allez point quitter, de quoi que l’on vous somme,"
"Et n’allez point quitter, de quoi que l’on vous somme,","Le nom que, dans la Cour, vous avez d’honnête Homme,"
"Le nom que, dans la Cour, vous avez d’honnête Homme,","Pour prendre, de la main d’un avide Imprimeur,"
"Pour prendre, de la main d’un avide Imprimeur,","Celui de ridicule, et misérable Auteur."
"Celui de ridicule, et misérable Auteur.",C’est ce que je tâchai de lui faire comprendre.
C’est ce que je tâchai de lui faire comprendre.,"Voilà qui va fort bien, et je crois vous entendre."
"Voilà qui va fort bien, et je crois vous entendre.",Mais ne puis-je savoir ce que dans mon Sonnet…
Mais ne puis-je savoir ce que dans mon Sonnet…,"Franchement, il est bon à mettre au Cabinet ;"
"Franchement, il est bon à mettre au Cabinet ;","Vous vous êtes réglé sur de méchants Modèles,"
"Vous vous êtes réglé sur de méchants Modèles,",Et vos Expressions ne sont point naturelles.
Et vos Expressions ne sont point naturelles.,"Qu’est-ce que nous berce un temps, notre ennui,"
"Qu’est-ce que nous berce un temps, notre ennui,",Et que rien ne marche après lui ?
Et que rien ne marche après lui ?,"Que ne vous pas mettre en dépense,"
"Que ne vous pas mettre en dépense,",Pour ne me donner que l’Espoir ?
Pour ne me donner que l’Espoir ?,"Et que Philis, on désespère,"
"Et que Philis, on désespère,",Alors qu’on espère toujours ?
Alors qu’on espère toujours ?,"Ce style figuré, dont on fait vanité,"
"Ce style figuré, dont on fait vanité,","Sort du bon Caractère, et de la Vérité ;"
"Sort du bon Caractère, et de la Vérité ;","Ce n’est que jeu de Mots, qu’affectation pure,"
"Ce n’est que jeu de Mots, qu’affectation pure,","Et ce n’est point ainsi, que parle la Nature."
"Et ce n’est point ainsi, que parle la Nature.","Le méchant Goût du Siècle, en cela, me fait peur."
"Le méchant Goût du Siècle, en cela, me fait peur.","Nos Pères, tous grossiers, l’avaient beaucoup meilleur ;"
"Nos Pères, tous grossiers, l’avaient beaucoup meilleur ;","Et je prise bien moins, tout ce que l’on admire,"
"Et je prise bien moins, tout ce que l’on admire,","Qu’une vieille Chanson, que je m’en vais vous dire."
"Qu’une vieille Chanson, que je m’en vais vous dire.",Si le Roi m’avait donné
Si le Roi m’avait donné,"Paris, sa grand’Ville,"
"Paris, sa grand’Ville,",Et qu’il me fallût quitter
Et qu’il me fallût quitter,L’amour de ma Mie ;
L’amour de ma Mie ;,"Je dirais au Roi Henri,"
"Je dirais au Roi Henri,","Reprenez votre Paris,"
"Reprenez votre Paris,","J’aime mieux ma Mie, au gué,"
"J’aime mieux ma Mie, au gué,",J’aime mieux ma Mie.
J’aime mieux ma Mie.,"La Rime n’est pas riche, et le Style en est vieux :"
"La Rime n’est pas riche, et le Style en est vieux :",Mais ne voyez-vous pas que cela vaut bien mieux
Mais ne voyez-vous pas que cela vaut bien mieux,"Que ces Colifichets, dont le bon Sens murmure,"
"Que ces Colifichets, dont le bon Sens murmure,",Et que la Passion parle là toute pure ?
Et que la Passion parle là toute pure ?,Si le Roi m’avait donné
Si le Roi m’avait donné,"Paris, sa grand’Ville,"
"Paris, sa grand’Ville,",Et qu’il me fallût quitter
Et qu’il me fallût quitter,L’amour de ma Mie ;
L’amour de ma Mie ;,"Je dirais au Roi Henri,"
"Je dirais au Roi Henri,","Reprenez votre Paris,"
"Reprenez votre Paris,","J’aime mieux ma Mie, au gué,"
"J’aime mieux ma Mie, au gué,",J’aime mieux ma Mie.
J’aime mieux ma Mie.,Voilà ce que peut dire un Coeur vraiment épris.
Voilà ce que peut dire un Coeur vraiment épris.,"Oui, Monsieur le Rieur, malgré vos beaux Esprits,"
"Oui, Monsieur le Rieur, malgré vos beaux Esprits,","J’estime plus cela, que la Pompe fleurie"
"J’estime plus cela, que la Pompe fleurie","De tous ces faux Brillants, où chacun se récrie."
"De tous ces faux Brillants, où chacun se récrie.","Et moi, je vous soutiens que mes Vers sont fort bons."
"Et moi, je vous soutiens que mes Vers sont fort bons.","Pour les trouver ainsi, vous avez vos Raisons ;"
"Pour les trouver ainsi, vous avez vos Raisons ;","Mais vous trouverez bon, que j’en puisse avoir d’autres"
"Mais vous trouverez bon, que j’en puisse avoir d’autres",Qui se dispenseront de se soumettre aux vôtres.
Qui se dispenseront de se soumettre aux vôtres.,Il me suffit de voir que d’autres en font cas.
Il me suffit de voir que d’autres en font cas.,"C’est qu’ils ont l’Art de feindre, et moi, je ne l’ai pas."
"C’est qu’ils ont l’Art de feindre, et moi, je ne l’ai pas.","Croyez-vous, donc, avoir tant d’Esprit en partage ?"
"Croyez-vous, donc, avoir tant d’Esprit en partage ?","Si je louais vos Vers, j’en aurais davantage."
"Si je louais vos Vers, j’en aurais davantage.",Je me passerai bien que vous les approuviez.
Je me passerai bien que vous les approuviez.,"Il faut bien, s’il vous plaît, que vous vous en passiez."
"Il faut bien, s’il vous plaît, que vous vous en passiez.","Je voudrais bien, pour voir, que de votre manière ;"
"Je voudrais bien, pour voir, que de votre manière ;",Vous en composassiez sur la même Matière.
Vous en composassiez sur la même Matière.,"J’en pourrais, par malheur, faire d’aussi méchants ;"
"J’en pourrais, par malheur, faire d’aussi méchants ;",Mais je me garderais de les montrer aux Gens.
